complex_id,go_id,go_name,k,n,K,N,pvalue,fdr
0,GO:0048193,Golgi vesicle transport,7,7,143,2190,4.40195678e-9,6.60293517e-8
0,GO:0005794,Golgi apparatus,6,7,116,2190,1.30594494e-7,9.79458706e-7
0,GO:0031410,cytoplasmic vesicle,6,7,150,2190,6.20473073e-7,3.10236537e-6
0,GO:0012505,endomembrane system,6,7,431,2190,3.29492319e-4,1.23559620e-3
0,GO:0016020,membrane,6,7,629,2190,2.91849225e-3,8.75547675e-3
0,GO:0016197,endosomal transport,2,7,67,2190,1.75349131e-2,4.38372827e-2
0,GO:0005737,cytoplasm,7,7,1502,2190,7.10670869e-2,1.52286615e-1
0,GO:0032182,ubiquitin-like protein binding,1,7,28,2190,8.62508586e-2,1.61720360e-1
0,GO:0008289,lipid binding,1,7,64,2190,1.87715062e-1,2.93573904e-1
0,GO:0006897,endocytosis,1,7,67,2190,1.95715936e-1,2.93573904e-1
0,GO:0043167,ion binding,1,7,104,2190,2.88977608e-1,3.94060374e-1
0,GO:0051603,proteolysis involved in cellular protein catabolic process,1,7,126,2190,3.39908256e-1,4.24885320e-1
0,GO:0006605,protein targeting,1,7,199,2190,4.87170604e-1,5.62119927e-1
0,GO:0005198,structural molecule activity,1,7,239,2190,5.55183534e-1,5.94839501e-1
0,GO:0005634,nucleus,1,7,1145,2190,9.94426497e-1,9.94426497e-1
1,GO:0006873,cellular ion homeostasis,9,9,43,2190,1.79528489e-16,2.69292733e-15
1,GO:0022857,transmembrane transporter activity,9,9,87,2190,1.63290630e-13,1.22467973e-12
1,GO:0005773,vacuole,9,9,118,2190,2.84637416e-12,1.42318708e-11
1,GO:0016887,ATPase activity,9,9,176,2190,1.15469382e-10,4.33010182e-10
1,GO:0016787,hydrolase activity,9,9,334,2190,4.07058774e-8,1.22117632e-7
1,GO:0016020,membrane,9,9,629,2190,1.27655082e-5,3.19137706e-5
1,GO:0005737,cytoplasm,9,9,1502,2190,3.33235930e-2,7.14076994e-2
1,GO:0070271,protein complex biogenesis,2,9,182,2190,1.68120892e-1,3.15226672e-1
1,GO:0006811,ion transport,1,9,83,2190,2.94167232e-1,4.84771054e-1
1,GO:0055085,transmembrane transport,1,9,95,2190,3.29599046e-1,4.84771054e-1
1,GO:0003729,mRNA binding,1,9,111,2190,3.74379183e-1,4.84771054e-1
1,GO:0005794,Golgi apparatus,1,9,116,2190,3.87816843e-1,4.84771054e-1
1,GO:0031410,cytoplasmic vesicle,1,9,150,2190,4.72590282e-1,5.45296479e-1
1,GO:0003723,RNA binding,1,9,266,2190,6.88929497e-1,7.38138746e-1
1,GO:0012505,endomembrane system,1,9,431,2190,8.61438950e-1,8.61438950e-1
2,GO:0032543,mitochondrial translation,28,28,68,2190,1.06084952e-45,1.69735923e-44
2,GO:0003735,structural constituent of ribosome,28,28,144,2190,5.70898829e-35,4.56719063e-34
2,GO:0007005,mitochondrion organization,28,28,167,2190,5.45752937e-33,2.91068233e-32
2,GO:0005840,ribosome,28,28,191,2190,3.21943316e-31,1.28777326e-30
2,GO:0005198,structural molecule activity,28,28,239,2190,2.64931343e-28,8.47780298e-28
2,GO:0005739,mitochondrion,28,28,351,2190,2.14299906e-23,5.71466415e-23
2,GO:0005737,cytoplasm,28,28,1502,2190,2.39678664e-5,5.47836947e-5
2,GO:0006979,response to oxidative stress,1,28,27,2190,2.94976382e-1,5.89952765e-1
2,GO:0051052,regulation of DNA metabolic process,1,28,82,2190,6.58806520e-1,9.99999999e-1
2,GO:0006310,DNA recombination,1,28,118,2190,7.90023004e-1,9.99999999e-1
2,GO:0006260,DNA replication,1,28,118,2190,7.90023004e-1,9.99999999e-1
2,GO:0042221,response to chemical,1,28,172,2190,9.00250229e-1,9.99999999e-1
2,GO:0033043,regulation of organelle organization,1,28,172,2190,9.00250229e-1,9.99999999e-1
2,GO:0003677,DNA binding,1,28,219,2190,9.48668141e-1,9.99999999e-1
2,GO:0016740,transferase activity,1,28,323,2190,9.88869415e-1,9.99999999e-1
2,GO:0005634,nucleus,1,28,1145,2190,9.99999999e-1,9.99999999e-1
3,GO:0006629,lipid metabolic process,10,10,89,2190,7.42251677e-15,5.17714305e-14
3,GO:0016491,oxidoreductase activity,9,10,52,2190,1.15047623e-14,5.17714305e-14
3,GO:0005783,endoplasmic reticulum,10,10,203,2190,3.81633076e-11,1.14489923e-10
3,GO:0012505,endomembrane system,10,10,431,2190,8.00916994e-8,1.80206324e-7
3,GO:0016020,membrane,7,10,629,2190,8.03110719e-3,1.44559929e-2
3,GO:0005737,cytoplasm,10,10,1502,2190,2.28116114e-2,3.42174171e-2
3,GO:0005886,plasma membrane,1,10,139,2190,4.81667005e-1,6.19286150e-1
3,GO:0042221,response to chemical,1,10,172,2190,5.59437464e-1,6.29367147e-1
3,GO:0003674,molecular_function,1,10,414,2190,8.77566152e-1,8.77566152e-1
4,GO:0032543,mitochondrial translation,28,28,68,2190,1.06084952e-45,8.48679616e-45
4,GO:0003735,structural constituent of ribosome,28,28,144,2190,5.70898829e-35,2.28359531e-34
4,GO:0007005,mitochondrion organization,28,28,167,2190,5.45752937e-33,1.45534117e-32
4,GO:0005840,ribosome,28,28,191,2190,3.21943316e-31,6.43886632e-31
4,GO:0005198,structural molecule activity,28,28,239,2190,2.64931343e-28,4.23890149e-28
4,GO:0005739,mitochondrion,28,28,351,2190,2.14299906e-23,2.85733207e-23
4,GO:0005737,cytoplasm,28,28,1502,2190,2.39678664e-5,2.73918473e-5
4,GO:0006413,translational initiation,2,28,39,2190,8.73860626e-2,8.73860626e-2
5,GO:0008565,protein transporter activity,6,6,38,2190,1.81409968e-11,1.81409968e-10
5,GO:0006605,protein targeting,6,6,199,2190,5.25278142e-7,1.97598160e-6
5,GO:0005783,endoplasmic reticulum,6,6,203,2190,5.92794480e-7,1.97598160e-6
5,GO:0055085,transmembrane transport,5,6,95,2190,8.03359173e-7,2.00839793e-6
5,GO:0012505,endomembrane system,6,6,431,2190,5.64932663e-5,1.12986533e-4
5,GO:0016020,membrane,6,6,629,2190,5.51860353e-4,9.19767255e-4
5,GO:0022857,transmembrane transporter activity,2,6,87,2190,2.10883763e-2,3.01262519e-2
5,GO:0005737,cytoplasm,6,6,1502,2190,1.03750346e-1,1.29687933e-1
5,GO:0005198,structural molecule activity,1,6,239,2190,5.00524852e-1,5.56138725e-1
5,GO:0005739,mitochondrion,1,6,351,2190,6.49847773e-1,6.49847773e-1
6,GO:0008150,biological_process,7,8,43,2190,5.35117204e-12,7.49164085e-11
6,GO:0003674,molecular_function,8,8,414,2190,1.54332440e-6,1.08032708e-5
6,GO:0005794,Golgi apparatus,3,8,116,2190,6.66962829e-3,3.11249320e-2
6,GO:0016020,membrane,5,8,629,2190,4.82744198e-2,1.23821254e-1
6,GO:0005737,cytoplasm,8,8,1502,2190,4.86693976e-2,1.23821254e-1
6,GO:0012505,endomembrane system,4,8,431,2190,5.30662519e-2,1.23821254e-1
6,GO:0005773,vacuole,2,8,118,2190,6.51320820e-2,1.30264164e-1
6,GO:0031410,cytoplasmic vesicle,2,8,150,2190,9.93677452e-2,1.73893554e-1
6,GO:0030427,site of polarized growth,2,8,166,2190,1.18210583e-1,1.83883129e-1
6,GO:0005886,plasma membrane,1,8,139,2190,4.08717314e-1,4.90198788e-1
6,GO:0048193,Golgi vesicle transport,1,8,143,2190,4.17895433e-1,4.90198788e-1
6,GO:0005933,cellular bud,1,8,144,2190,4.20170390e-1,4.90198788e-1
6,GO:0005783,endoplasmic reticulum,1,8,203,2190,5.41371146e-1,5.83015080e-1
6,GO:0005634,nucleus,2,8,1145,2190,9.73963087e-1,9.73963087e-1
7,GO:0006310,DNA recombination,4,4,118,2190,8.02856119e-6,8.83141731e-5
7,GO:0006281,DNA repair,4,4,180,2190,4.42519922e-5,2.43385957e-4
7,GO:0006974,cellular response to DNA damage stimulus,4,4,211,2190,8.39702399e-5,3.07890880e-4
7,GO:0005694,chromosome,4,4,290,2190,3.01984219e-4,8.30456602e-4
7,GO:0003674,molecular_function,4,4,414,2190,1.26212815e-3,2.77668193e-3
7,GO:0007059,chromosome segregation,1,4,148,2190,2.44281318e-1,3.82084412e-1
7,GO:0051321,meiotic cell cycle,1,4,153,2190,2.51661330e-1,3.82084412e-1
7,GO:0005730,nucleolus,1,4,200,2190,3.18421112e-1,3.82084412e-1
7,GO:0048285,organelle fission,1,4,216,2190,3.40094434e-1,3.82084412e-1
7,GO:0005634,nucleus,3,4,1145,2190,3.47349465e-1,3.82084412e-1
7,GO:0005737,cytoplasm,2,4,1502,2190,9.05397168e-1,9.05397168e-1
8,GO:0016050,vesicle organization,6,6,70,2190,8.61589827e-10,4.30794913e-9
8,GO:0003674,molecular_function,6,6,414,2190,4.43107417e-5,1.10776854e-4
8,GO:0031410,cytoplasmic vesicle,4,6,150,2190,2.84914742e-4,4.74857903e-4
8,GO:0012505,endomembrane system,4,6,431,2190,1.58618210e-2,1.98272763e-2
8,GO:0005737,cytoplasm,6,6,1502,2190,1.03750346e-1,1.03750346e-1
9,GO:0008380,RNA splicing,22,23,101,2190,8.41776985e-30,6.12698021e-29
9,GO:0006397,mRNA processing,23,23,130,2190,8.75282887e-30,6.12698021e-29
9,GO:0003723,RNA binding,19,23,266,2190,1.26144016e-14,5.88672075e-14
9,GO:0003729,mRNA binding,11,23,111,2190,2.81291856e-9,9.84521497e-9
9,GO:0005634,nucleus,23,23,1145,2190,2.99267358e-7,8.37948604e-7
9,GO:0019843,rRNA binding,1,23,26,2190,2.41256007e-1,5.62930683e-1
9,GO:0006383,transcription from RNA polymerase III promoter,1,23,34,2190,3.03517762e-1,6.07035524e-1
9,GO:0015931,nucleobase-containing compound transport,1,23,96,2190,6.45241713e-1,9.99968373e-1
9,GO:0006401,RNA catabolic process,1,23,98,2190,6.52993918e-1,9.99968373e-1
9,GO:0051169,nuclear transport,1,23,134,2190,7.67713685e-1,9.99968373e-1
9,GO:0003674,molecular_function,3,23,414,2190,8.39101804e-1,9.99968373e-1
9,GO:0016740,transferase activity,1,23,323,2190,9.75033392e-1,9.99968373e-1
9,GO:0005739,mitochondrion,1,23,351,2190,9.82399840e-1,9.99968373e-1
9,GO:0005737,cytoplasm,7,23,1502,2190,9.99968373e-1,9.99968373e-1
10,GO:0016757,"transferase activity, transferring glycosyl groups",3,3,27,2190,1.67316945e-6,1.17121862e-5
10,GO:0006091,generation of precursor metabolites and energy,3,3,38,2190,4.82559231e-6,1.68895731e-5
10,GO:0005975,carbohydrate metabolic process,3,3,54,2190,1.41884770e-5,3.31064462e-5
10,GO:0016740,transferase activity,3,3,323,2190,3.18292373e-3,5.57011653e-3
10,GO:0005737,cytoplasm,3,3,1502,2190,3.22407169e-1,4.51370036e-1
10,GO:0005739,mitochondrion,1,3,351,2190,4.08030681e-1,4.76035794e-1
10,GO:0005634,nucleus,1,3,1145,2190,8.91516446e-1,8.91516446e-1
11,GO:0032543,mitochondrial translation,27,27,68,2190,5.59662808e-44,6.71595369e-43
11,GO:0007005,mitochondrion organization,27,27,167,2190,8.43188288e-32,5.05912973e-31
11,GO:0003735,structural constituent of ribosome,26,27,144,2190,4.95158095e-31,1.98063238e-30
11,GO:0005840,ribosome,26,27,191,2190,1.39319000e-27,4.17956999e-27
11,GO:0005198,structural molecule activity,26,27,239,2190,6.71193842e-25,1.61086522e-24
11,GO:0005739,mitochondrion,26,27,351,2190,2.20003201e-20,4.40006403e-20
11,GO:0005737,cytoplasm,27,27,1502,2190,3.51474543e-5,6.02527788e-5
11,GO:0006413,translational initiation,2,27,39,2190,8.20425838e-2,1.23063876e-1
11,GO:0045333,cellular respiration,1,27,20,2190,2.20573916e-1,2.94098555e-1
11,GO:0006091,generation of precursor metabolites and energy,1,27,38,2190,3.78400139e-1,4.54080166e-1
11,GO:0006417,regulation of translation,1,27,57,2190,5.11475250e-1,5.57973000e-1
11,GO:0033043,regulation of organelle organization,1,27,172,2190,8.91632972e-1,8.91632972e-1
12,GO:0005740,mitochondrial envelope,15,15,116,2190,2.95446919e-20,7.09072605e-19
12,GO:0007005,mitochondrion organization,15,15,167,2190,9.41087195e-18,1.12930463e-16
12,GO:0055085,transmembrane transport,13,15,95,2190,8.26149309e-17,6.60919447e-16
12,GO:0006605,protein targeting,14,15,199,2190,2.35910795e-14,1.41546477e-13
12,GO:0008565,protein transporter activity,9,15,38,2190,2.41625398e-13,1.15980191e-12
12,GO:0005739,mitochondrion,15,15,351,2190,9.16367098e-13,3.66546839e-12
12,GO:0022857,transmembrane transporter activity,9,15,87,2190,6.71579207e-10,2.30255728e-9
12,GO:0016020,membrane,15,15,629,2190,6.62072166e-9,1.98621650e-8
12,GO:0005737,cytoplasm,15,15,1502,2190,3.41819952e-3,9.11519872e-3
12,GO:0070271,protein complex biogenesis,4,15,182,2190,3.04140437e-2,7.29937049e-2
12,GO:0016853,isomerase activity,1,15,14,2190,9.19974267e-2,2.00721658e-1
12,GO:0006869,lipid transport,1,15,22,2190,1.40956400e-1,2.81912800e-1
12,GO:0030674,"protein binding, bridging",1,15,33,2190,2.04261321e-1,3.59648520e-1
12,GO:0051082,unfolded protein binding,1,15,34,2190,2.09794970e-1,3.59648520e-1
12,GO:0006457,protein folding,1,15,42,2190,2.52788636e-1,4.04461818e-1
12,GO:0016491,oxidoreductase activity,1,15,52,2190,3.03461575e-1,4.55192362e-1
12,GO:0006811,ion transport,1,15,83,2190,4.40909186e-1,6.22460027e-1
12,GO:0015931,nucleobase-containing compound transport,1,15,96,2190,4.90634531e-1,6.54179375e-1
12,GO:0030234,enzyme regulator activity,1,15,128,2190,5.96010834e-1,7.52855790e-1
12,GO:0016887,ATPase activity,1,15,176,2190,7.16598453e-1,8.59918144e-1
12,GO:0005783,endoplasmic reticulum,1,15,203,2190,7.68703496e-1,8.78518281e-1
12,GO:0003674,molecular_function,2,15,414,2190,8.06951615e-1,8.80310852e-1
12,GO:0016787,hydrolase activity,1,15,334,2190,9.17159520e-1,9.57036021e-1
12,GO:0012505,endomembrane system,1,15,431,2190,9.63085377e-1,9.63085377e-1
13,GO:0032543,mitochondrial translation,28,28,68,2190,1.06084952e-45,1.80344418e-44
13,GO:0003735,structural constituent of ribosome,28,28,144,2190,5.70898829e-35,4.85264004e-34
13,GO:0007005,mitochondrion organization,28,28,167,2190,5.45752937e-33,3.09259998e-32
13,GO:0005840,ribosome,28,28,191,2190,3.21943316e-31,1.36825909e-30
13,GO:0005198,structural molecule activity,28,28,239,2190,2.64931343e-28,9.00766566e-28
13,GO:0005739,mitochondrion,28,28,351,2190,2.14299906e-23,6.07183066e-23
13,GO:0005737,cytoplasm,28,28,1502,2190,2.39678664e-5,5.82076756e-5
13,GO:0006979,response to oxidative stress,1,28,27,2190,2.94976382e-1,6.26824813e-1
13,GO:0051052,regulation of DNA metabolic process,1,28,82,2190,6.58806520e-1,9.99999999e-1
13,GO:0006310,DNA recombination,1,28,118,2190,7.90023004e-1,9.99999999e-1
13,GO:0006260,DNA replication,1,28,118,2190,7.90023004e-1,9.99999999e-1
13,GO:0005773,vacuole,1,28,118,2190,7.90023004e-1,9.99999999e-1
13,GO:0042221,response to chemical,1,28,172,2190,9.00250229e-1,9.99999999e-1
13,GO:0033043,regulation of organelle organization,1,28,172,2190,9.00250229e-1,9.99999999e-1
13,GO:0003677,DNA binding,1,28,219,2190,9.48668141e-1,9.99999999e-1
13,GO:0016740,transferase activity,1,28,323,2190,9.88869415e-1,9.99999999e-1
13,GO:0005634,nucleus,1,28,1145,2190,9.99999999e-1,9.99999999e-1
14,GO:0071554,cell wall organization or biogenesis,5,5,62,2190,1.54851938e-8,4.64555814e-8
14,GO:0016740,transferase activity,5,5,323,2190,6.79622820e-5,1.01943423e-4
14,GO:0005737,cytoplasm,5,5,1502,2190,1.51432536e-1,1.51432536e-1
15,GO:0008134,transcription factor binding,5,5,52,2190,6.21934583e-9,8.08514958e-8
15,GO:0006360,transcription from RNA polymerase I promoter,5,5,63,2190,1.68201243e-8,1.00147147e-7
15,GO:0006352,"DNA-templated transcription, initiation",5,5,67,2190,2.31108801e-8,1.00147147e-7
15,GO:0000988,"transcription factor activity, protein binding",5,5,89,2190,9.93283391e-8,3.22817102e-7
15,GO:0001071,nucleic acid binding transcription factor activity,4,5,72,2190,5.24780341e-6,1.31469959e-5
15,GO:0005730,nucleolus,5,5,200,2190,6.06784426e-6,1.31469959e-5
15,GO:0003677,DNA binding,5,5,219,2190,9.59436903e-6,1.78181139e-5
15,GO:0032196,transposition,1,5,14,2190,3.15858989e-2,5.13270857e-2
15,GO:0005634,nucleus,5,5,1145,2190,3.89039193e-2,5.61945500e-2
15,GO:0006383,transcription from RNA polymerase III promoter,1,5,34,2190,7.53190893e-2,9.79148161e-2
15,GO:0019899,enzyme binding,1,5,47,2190,1.02887872e-1,1.21594758e-1
15,GO:0003682,chromatin binding,1,5,95,2190,1.99042428e-1,2.15629297e-1
15,GO:0006366,transcription from RNA polymerase II promoter,1,5,302,2190,5.24148222e-1,5.24148222e-1
16,GO:0006497,protein lipidation,5,5,12,2190,1.89526653e-12,1.70573988e-11
16,GO:0006629,lipid metabolic process,5,5,89,2190,9.93283391e-8,4.46977526e-7
16,GO:0005783,endoplasmic reticulum,5,5,203,2190,6.54169666e-6,1.96250900e-5
16,GO:0012505,endomembrane system,5,5,431,2190,2.89760063e-4,6.51960142e-4
16,GO:0016020,membrane,5,5,629,2190,1.93239563e-3,3.47831213e-3
16,GO:0016787,hydrolase activity,4,5,334,2190,2.34230816e-3,3.51346223e-3
16,GO:0016757,"transferase activity, transferring glycosyl groups",1,5,27,2190,6.01961178e-2,7.73950086e-2
16,GO:0005737,cytoplasm,5,5,1502,2190,1.51432536e-1,1.70361603e-1
16,GO:0016740,transferase activity,1,5,323,2190,5.50057081e-1,5.50057081e-1
17,GO:0004518,nuclease activity,3,3,42,2190,6.56683258e-6,3.94009955e-5
17,GO:0006401,RNA catabolic process,3,3,98,2190,8.70025234e-5,2.61007570e-4
17,GO:0006260,DNA replication,3,3,118,2190,1.52682290e-4,3.05364579e-4
17,GO:0016787,hydrolase activity,3,3,334,2190,3.52039658e-3,5.28059486e-3
17,GO:0005634,nucleus,3,3,1145,2190,1.42738309e-1,1.71285971e-1
17,GO:0005737,cytoplasm,1,3,1502,2190,9.69087645e-1,9.69087645e-1
18,GO:0008033,tRNA processing,4,4,39,2190,8.60530864e-8,5.26968047e-7
18,GO:0004518,nuclease activity,4,4,42,2190,1.17104010e-7,5.26968047e-7
18,GO:0008380,RNA splicing,4,4,101,2190,4.27165989e-6,1.28149797e-5
18,GO:0016787,hydrolase activity,4,4,334,2190,5.32808078e-4,1.00344035e-3
18,GO:0005740,mitochondrial envelope,3,4,116,2190,5.57466862e-4,1.00344035e-3
18,GO:0005739,mitochondrion,3,4,351,2190,1.43989520e-2,2.15984280e-2
18,GO:0016020,membrane,3,4,629,2190,7.41734688e-2,8.38514140e-2
18,GO:0005634,nucleus,4,4,1145,2190,7.45345903e-2,8.38514140e-2
18,GO:0005737,cytoplasm,3,4,1502,2190,6.26681699e-1,6.26681699e-1
19,GO:0042274,ribosomal small subunit biogenesis,36,36,91,2190,7.88720179e-54,1.97180045e-52
19,GO:0005730,nucleolus,36,36,200,2190,1.77699636e-39,2.22124545e-38
19,GO:0006364,rRNA processing,35,36,173,2190,2.87637153e-39,2.39697627e-38
19,GO:0005634,nucleus,36,36,1145,2190,5.56107358e-11,3.47567099e-10
19,GO:0003723,RNA binding,17,36,266,2190,1.67761603e-7,8.38808014e-7
19,GO:0006360,transcription from RNA polymerase I promoter,7,36,63,2190,5.03474973e-5,2.09781239e-4
19,GO:0003674,molecular_function,16,36,414,2190,3.54346489e-4,1.26552317e-3
19,GO:0003729,mRNA binding,6,36,111,2190,8.29035946e-3,2.59073733e-2
19,GO:0008168,methyltransferase activity,1,36,18,2190,2.58828554e-1,7.18968205e-1
19,GO:0005694,chromosome,6,36,290,2190,3.39382474e-1,7.73698831e-1
19,GO:0019843,rRNA binding,1,36,26,2190,3.51730603e-1,7.73698831e-1
19,GO:0003924,GTPase activity,1,36,31,2190,4.03935362e-1,7.73698831e-1
19,GO:0009451,RNA modification,1,36,32,2190,4.13874374e-1,7.73698831e-1
19,GO:0051082,unfolded protein binding,1,36,34,2190,4.33271345e-1,7.73698831e-1
19,GO:0015931,nucleobase-containing compound transport,2,36,96,2190,4.73656006e-1,7.89426676e-1
19,GO:0004386,helicase activity,1,36,47,2190,5.44970369e-1,8.51516202e-1
19,GO:0051169,nuclear transport,2,36,134,2190,6.57692535e-1,9.67194904e-1
19,GO:0043167,ion binding,1,36,104,2190,8.28987357e-1,9.99999989e-1
19,GO:0005739,mitochondrion,4,36,351,2190,8.52696058e-1,9.99999989e-1
19,GO:0005856,cytoskeleton,1,36,148,2190,9.21139275e-1,9.99999989e-1
19,GO:0070271,protein complex biogenesis,1,36,182,2190,9.57140006e-1,9.99999989e-1
19,GO:0016787,hydrolase activity,2,36,334,2190,9.81334023e-1,9.99999989e-1
19,GO:0016740,transferase activity,1,36,323,2190,9.96956762e-1,9.99999989e-1
19,GO:0016020,membrane,1,36,629,2190,9.99995476e-1,9.99999989e-1
19,GO:0005737,cytoplasm,9,36,1502,2190,9.99999989e-1,9.99999989e-1
20,GO:0043543,protein acylation,3,3,49,2190,1.05389655e-5,3.16168964e-5
20,GO:0016740,transferase activity,3,3,323,2190,3.18292373e-3,4.77438560e-3
20,GO:0005737,cytoplasm,3,3,1502,2190,3.22407169e-1,3.22407169e-1
21,GO:0005856,cytoskeleton,9,9,148,2190,2.33230444e-11,8.86275686e-10
21,GO:0008092,cytoskeletal protein binding,7,9,48,2190,5.40067838e-11,9.87334446e-10
21,GO:0005938,cell cortex,8,9,97,2190,9.67518432e-11,9.87334446e-10
21,GO:0007010,cytoskeleton organization,9,9,174,2190,1.03929942e-10,9.87334446e-10
21,GO:0030427,site of polarized growth,7,9,166,2190,4.02965490e-7,3.06253773e-6
21,GO:0033043,regulation of organelle organization,7,9,172,2190,5.16351813e-7,3.27022815e-6
21,GO:0070271,protein complex biogenesis,6,9,182,2190,2.06879851e-5,1.12306205e-4
21,GO:0005933,cellular bud,4,9,144,2190,1.74272928e-3,8.27796409e-3
21,GO:0030674,"protein binding, bridging",2,9,33,2190,7.42163928e-3,3.13358103e-2
21,GO:0005886,plasma membrane,3,9,139,2190,1.58358629e-2,6.01762789e-2
21,GO:0006979,response to oxidative stress,1,9,27,2190,1.05825473e-1,3.46895769e-1
21,GO:0032182,ubiquitin-like protein binding,1,9,28,2190,1.09546032e-1,3.46895769e-1
21,GO:0006887,exocytosis,1,9,37,2190,1.42416876e-1,3.69130728e-1
