complex_id,go_id,go_name,k,n,K,N,pvalue,fdr
0,GO:0008380,RNA splicing,19,19,79,1307,7.57385864e-25,7.57385864e-24
0,GO:0006397,mRNA processing,19,19,100,1307,1.13408400e-22,5.67041999e-22
0,GO:0003674,molecular_function,14,19,202,1307,1.68290301e-8,5.60967669e-8
0,GO:0005634,nucleus,19,19,719,1307,1.05079352e-5,2.62698381e-5
0,GO:0003723,RNA binding,5,19,165,1307,8.03117165e-2,1.60623433e-1
0,GO:0003729,mRNA binding,2,19,70,1307,2.70698129e-1,4.26498935e-1
0,GO:0043144,snoRNA processing,1,19,24,1307,2.98549255e-1,4.26498935e-1
0,GO:0006364,rRNA processing,1,19,90,1307,7.44705629e-1,9.30882036e-1
0,GO:0005739,mitochondrion,1,19,201,1307,9.59104325e-1,9.99999394e-1
0,GO:0005737,cytoplasm,3,19,867,1307,9.99999394e-1,9.99999394e-1
1,GO:0055086,nucleobase-containing small molecule metabolic process,15,15,29,1307,1.98160076e-27,2.57608099e-26
1,GO:0006811,ion transport,15,15,54,1307,2.21115220e-22,1.43724893e-21
1,GO:0005740,mitochondrial envelope,15,15,58,1307,7.60169795e-22,3.29406911e-21
1,GO:0022857,transmembrane transporter activity,15,15,62,1307,2.37746710e-21,7.72676808e-21
1,GO:0055085,transmembrane transport,15,15,69,1307,1.44835381e-20,3.76571991e-20
1,GO:0016887,ATPase activity,15,15,101,1307,7.60167630e-18,1.64702986e-17
1,GO:0016787,hydrolase activity,15,15,194,1307,2.32685994e-13,4.32131131e-13
1,GO:0005739,mitochondrion,15,15,201,1307,4.03920055e-13,6.56370090e-13
1,GO:0016020,membrane,15,15,394,1307,1.27686257e-8,1.84435705e-8
1,GO:0005737,cytoplasm,15,15,867,1307,2.03366892e-3,2.64376960e-3
1,GO:0070271,protein complex biogenesis,5,15,120,1307,8.50001528e-3,1.00454726e-2
1,GO:0007005,mitochondrion organization,4,15,104,1307,2.60382776e-2,2.82081341e-2
1,GO:0005198,structural molecule activity,1,15,131,1307,7.96736749e-1,7.96736749e-1
2,GO:0008380,RNA splicing,12,13,79,1307,1.28548748e-14,1.54258498e-13
2,GO:0006397,mRNA processing,12,13,100,1307,2.59536445e-13,1.55721867e-12
2,GO:0003723,RNA binding,9,13,165,1307,3.03426501e-6,1.21370600e-5
2,GO:0005634,nucleus,13,13,719,1307,4.02257954e-4,1.20677386e-3
2,GO:0003729,mRNA binding,4,13,70,1307,3.73957136e-3,8.97497125e-3
2,GO:0003924,GTPase activity,1,13,21,1307,1.90673096e-1,3.81346192e-1
2,GO:0000054,ribosomal subunit export from nucleus,1,13,28,1307,2.46361019e-1,4.22333175e-1
2,GO:0003674,molecular_function,3,13,202,1307,3.25177804e-1,4.87766706e-1
2,GO:0051169,nuclear transport,1,13,85,1307,5.84540934e-1,7.79387912e-1
2,GO:0005730,nucleolus,1,13,109,1307,6.79386357e-1,8.15263628e-1
2,GO:0016787,hydrolase activity,1,13,194,1307,8.77452258e-1,9.57220645e-1
2,GO:0005737,cytoplasm,3,13,867,1307,9.99780712e-1,9.99780712e-1
3,GO:0006873,cellular ion homeostasis,9,9,31,1307,6.75714298e-16,8.78428588e-15
3,GO:0022857,transmembrane transporter activity,9,9,62,1307,6.79954801e-13,4.41970621e-12
3,GO:0005773,vacuole,9,9,80,1307,7.77270653e-12,3.36817283e-11
3,GO:0016887,ATPase activity,9,9,101,1307,6.99951504e-11,2.27484239e-10
3,GO:0016787,hydrolase activity,9,9,194,1307,2.97803209e-8,7.74288342e-8
3,GO:0016020,membrane,9,9,394,1307,1.92754148e-5,4.17633987e-5
3,GO:0005737,cytoplasm,9,9,867,1307,2.45237906e-2,4.55441826e-2
3,GO:0070271,protein complex biogenesis,2,9,120,1307,1.96910865e-1,3.19980156e-1
3,GO:0006811,ion transport,1,9,54,1307,3.16778498e-1,4.57568941e-1
3,GO:0055085,transmembrane transport,1,9,69,1307,3.87175932e-1,4.88655360e-1
3,GO:0005794,Golgi apparatus,1,9,75,1307,4.13477612e-1,4.88655360e-1
3,GO:0031410,cytoplasmic vesicle,1,9,96,1307,4.97814209e-1,5.39298727e-1
3,GO:0012505,endomembrane system,1,9,268,1307,8.74119367e-1,8.74119367e-1
4,GO:0008380,RNA splicing,23,23,79,1307,3.23582332e-30,3.88298798e-29
4,GO:0006397,mRNA processing,23,23,100,1307,1.65311633e-27,9.91869799e-27
4,GO:0003723,RNA binding,20,23,165,1307,4.64332829e-16,1.85733132e-15
4,GO:0003729,mRNA binding,10,23,70,1307,6.69658509e-8,2.00897553e-7
4,GO:0005634,nucleus,23,23,719,1307,9.13150366e-7,2.19156088e-6
4,GO:0003924,GTPase activity,1,23,21,1307,3.13224381e-1,6.19042337e-1
4,GO:0006970,response to osmotic stress,1,23,25,1307,3.61108030e-1,6.19042337e-1
4,GO:0005730,nucleolus,2,23,109,1307,5.84834971e-1,8.32366723e-1
4,GO:0006401,RNA catabolic process,1,23,54,1307,6.24275042e-1,8.32366723e-1
4,GO:0003674,molecular_function,3,23,202,1307,7.15031377e-1,8.58037653e-1
4,GO:0016787,hydrolase activity,1,23,194,1307,9.75999985e-1,9.99999849e-1
4,GO:0005737,cytoplasm,4,23,867,1307,9.99999849e-1,9.99999849e-1
5,GO:0008565,protein transporter activity,6,6,32,1307,1.32400752e-10,1.45640828e-9
5,GO:0005740,mitochondrial envelope,6,6,58,1307,5.91372231e-9,3.25254727e-8
5,GO:0022857,transmembrane transporter activity,6,6,62,1307,8.98184111e-9,3.29334174e-8
5,GO:0055085,transmembrane transport,6,6,69,1307,1.75149058e-8,4.81659908e-8
5,GO:0007005,mitochondrion organization,6,6,104,1307,2.21699665e-7,4.87739263e-7
5,GO:0006605,protein targeting,6,6,130,1307,8.71294643e-7,1.59737351e-6
5,GO:0005739,mitochondrion,6,6,201,1307,1.24109307e-5,1.95028911e-5
5,GO:0016020,membrane,6,6,394,1307,7.30640156e-4,1.00463021e-3
5,GO:0005737,cytoplasm,6,6,867,1307,8.47076500e-2,1.03531572e-1
5,GO:0015931,nucleobase-containing compound transport,1,6,57,1307,2.35145869e-1,2.58660456e-1
