complex_id,go_id,go_name,k,n,K,N,pvalue,fdr
0,GO:0032543,mitochondrial translation,18,18,56,986,2.04812561e-24,2.04812561e-23
0,GO:0003735,structural constituent of ribosome,18,18,58,986,4.34045082e-24,2.17022541e-23
0,GO:0007005,mitochondrion organization,18,18,78,986,2.05042607e-21,6.83475357e-21
0,GO:0005840,ribosome,18,18,85,986,1.16375679e-20,2.90939196e-20
0,GO:0005198,structural molecule activity,18,18,101,986,3.59938799e-19,7.19877597e-19
0,GO:0005739,mitochondrion,18,18,143,986,3.08450832e-16,5.14084720e-16
0,GO:0005737,cytoplasm,18,18,571,986,4.78499258e-5,6.83570368e-5
0,GO:0005740,mitochondrial envelope,1,18,8,986,1.37504123e-1,1.71880154e-1
0,GO:0016020,membrane,1,18,117,986,8.99218231e-1,9.49052806e-1
0,GO:0016740,transferase activity,1,18,149,986,9.49052806e-1,9.49052806e-1
1,GO:0032543,mitochondrial translation,22,22,56,986,4.15820775e-30,4.98984930e-29
1,GO:0003735,structural constituent of ribosome,21,22,58,986,6.03106184e-27,3.61863711e-26
1,GO:0007005,mitochondrion organization,22,22,78,986,2.75007131e-26,1.10002852e-25
1,GO:0005840,ribosome,21,22,85,986,7.62316790e-23,2.28695037e-22
1,GO:0005198,structural molecule activity,21,22,101,986,4.44576105e-21,1.06698265e-20
1,GO:0005739,mitochondrion,22,22,143,986,8.22197809e-20,1.64439562e-19
1,GO:0005737,cytoplasm,22,22,571,986,5.07286722e-6,8.69634380e-6
1,GO:0045333,cellular respiration,1,22,3,986,6.55197025e-2,9.82795537e-2
1,GO:0006091,generation of precursor metabolites and energy,1,22,18,986,3.36187346e-1,4.48249795e-1
1,GO:0006413,translational initiation,1,22,28,986,4.73097004e-1,5.67716405e-1
1,GO:0006417,regulation of translation,1,22,34,986,5.41824086e-1,5.91080821e-1
1,GO:0033043,regulation of organelle organization,1,22,61,986,7.58446277e-1,7.58446277e-1
2,GO:0032543,mitochondrial translation,15,15,56,986,2.92255622e-20,2.67496425e-19
2,GO:0003735,structural constituent of ribosome,15,15,58,986,5.34992850e-20,2.67496425e-19
2,GO:0007005,mitochondrion organization,15,15,78,986,7.85410644e-18,2.61803548e-17
2,GO:0005840,ribosome,15,15,85,986,3.23385784e-17,8.08464459e-17
2,GO:0005198,structural molecule activity,15,15,101,986,5.34991326e-16,1.06998265e-15
2,GO:0005739,mitochondrion,15,15,143,986,1.37441046e-13,2.29068410e-13
2,GO:0005737,cytoplasm,15,15,571,986,2.55457390e-4,3.64939128e-4
2,GO:0005740,mitochondrial envelope,1,15,8,986,1.15807103e-1,1.44758878e-1
2,GO:0016020,membrane,1,15,117,986,8.51799312e-1,9.15975452e-1
2,GO:0016740,transferase activity,1,15,149,986,9.15975452e-1,9.15975452e-1
3,GO:0006310,DNA recombination,5,5,56,986,4.96878769e-7,5.96254522e-6
3,GO:0006260,DNA replication,5,5,69,986,1.46189725e-6,8.77138349e-6
3,GO:0006281,DNA repair,5,5,104,986,1.19624149e-5,4.78496595e-5
3,GO:0006974,cellular response to DNA damage stimulus,5,5,120,986,2.47902448e-5,7.43707345e-5
3,GO:0005694,chromosome,5,5,177,986,1.77887768e-4,4.26930642e-4
3,GO:0003674,molecular_function,4,5,188,986,5.47347733e-3,1.09469547e-2
3,GO:0005634,nucleus,5,5,669,986,1.43103758e-1,2.45320728e-1
3,GO:0003682,chromatin binding,1,5,68,986,3.00960799e-1,4.00360407e-1
3,GO:0007059,chromosome segregation,1,5,76,986,3.30958035e-1,4.00360407e-1
3,GO:0048285,organelle fission,1,5,79,986,3.41937724e-1,4.00360407e-1
3,GO:0000278,mitotic cell cycle,1,5,86,986,3.66997040e-1,4.00360407e-1
3,GO:0003677,DNA binding,1,5,105,986,4.31188569e-1,4.31188569e-1
4,GO:0032543,mitochondrial translation,25,25,56,986,1.67174728e-34,2.00609674e-33
4,GO:0003735,structural constituent of ribosome,24,25,58,986,3.57647031e-31,2.14588219e-30
4,GO:0007005,mitochondrion organization,25,25,78,986,5.12165168e-30,2.04866067e-29
4,GO:0005840,ribosome,24,25,85,986,2.42360139e-26,7.27080418e-26
4,GO:0005198,structural molecule activity,24,25,101,986,2.78692154e-24,6.68861169e-24
4,GO:0005739,mitochondrion,25,25,143,986,1.59078505e-22,3.18157009e-22
4,GO:0005737,cytoplasm,25,25,571,986,9.34792740e-7,1.60250184e-6
4,GO:0045333,cellular respiration,1,25,3,986,7.42259907e-2,1.11338986e-1
4,GO:0006413,translational initiation,2,25,28,986,1.56292739e-1,2.08390318e-1
4,GO:0006091,generation of precursor metabolites and energy,1,25,18,986,3.72719087e-1,4.47262904e-1
4,GO:0006417,regulation of translation,1,25,34,986,5.88660420e-1,6.42175003e-1
4,GO:0033043,regulation of organelle organization,1,25,61,986,8.01502783e-1,8.01502783e-1
5,GO:0032543,mitochondrial translation,22,22,56,986,4.15820775e-30,4.98984930e-29
5,GO:0003735,structural constituent of ribosome,21,22,58,986,6.03106184e-27,3.61863711e-26
5,GO:0007005,mitochondrion organization,22,22,78,986,2.75007131e-26,1.10002852e-25
5,GO:0005840,ribosome,21,22,85,986,7.62316790e-23,2.28695037e-22
5,GO:0005198,structural molecule activity,21,22,101,986,4.44576105e-21,1.06698265e-20
5,GO:0005739,mitochondrion,22,22,143,986,8.22197809e-20,1.64439562e-19
5,GO:0005737,cytoplasm,22,22,571,986,5.07286722e-6,8.69634380e-6
5,GO:0045333,cellular respiration,1,22,3,986,6.55197025e-2,9.82795537e-2
5,GO:0006413,translational initiation,2,22,28,986,1.26701865e-1,1.68935819e-1
5,GO:0006091,generation of precursor metabolites and energy,1,22,18,986,3.36187346e-1,4.03424815e-1
5,GO:0006417,regulation of translation,1,22,34,986,5.41824086e-1,5.91080821e-1
5,GO:0033043,regulation of organelle organization,1,22,61,986,7.58446277e-1,7.58446277e-1
